set,path,label,x1,y1,empty5,empty6,x2,y2,empty9,empty10
UNASSIGNED,gs://depth-286210/children_book_images/PRB01:000019798:00005:Picture_1.jpg,hat,0.2546142208774584,0.04157014157014157,,,0.4134644478063541,0.1772200772200772,,
UNASSIGNED,gs://depth-286210/children_book_images/PRB01:000019798:00005:Picture_1.jpg,male,0.5779122541603631,0.5173745173745173,,,0.7443267776096822,0.8468468468468469,,
UNASSIGNED,gs://depth-286210/children_book_images/PRB01:000019798:00005:Picture_1.jpg,male,0.4372163388804841,0.5830115830115831,,,0.6989409984871406,0.8404118404118404,,
UNASSIGNED,gs://depth-286210/children_book_images/PRB01:000019798:00005:Picture_1.jpg,male,0.10816944024205748,0.04423423423423423,,,0.5484114977307111,0.8477091377091377,,
UNASSIGNED,gs://depth-286210/children_book_images/PRB01:000019798:00005:Picture_1.jpg,unethical imagery,0.07435703479576397,0.02366795366795367,,,0.9219364599092283,0.8906177606177607,,
UNASSIGNED,gs://depth-286210/children_book_images/PRB01:000019791:00005:Picture_1.jpg,male,0.12608695652173915,0.4859139784946237,,,0.35247491638795986,0.8026881720430108,,
UNASSIGNED,gs://depth-286210/children_book_images/PRB01:000019791:00005:Picture_1.jpg,flag,0.11806020066889633,0.15268817204301074,,,0.3918060200668896,0.3168010752688172,,
UNASSIGNED,gs://depth-286210/children_book_images/PRB01:000019791:00005:Picture_1.jpg,male,0.7306020066889631,0.5229435483870968,,,0.996989966555184,0.7743279569892474,,
UNASSIGNED,gs://depth-286210/children_book_images/PRB01:000019791:00005:Picture_1.jpg,male,0.12408026755852845,0.4896505376344086,,,0.2240635451505017,0.7786290322580645,,
UNASSIGNED,gs://depth-286210/children_book_images/PRB01:000019791:00005:Picture_1.jpg,male,0.3177257525083612,0.6009408602150538,,,0.5548494983277592,0.7943548387096774,,
UNASSIGNED,gs://depth-286210/children_book_images/PRB01:000019791:00005:Picture_1.jpg,male,0.3167224080267559,0.4875,,,0.5431103678929765,0.6551747311827957,,
UNASSIGNED,gs://depth-286210/children_book_images/PRB01:000019791:00005:Picture_1.jpg,male,0.5502508361204014,0.4092069892473118,,,0.7873745819397994,0.6627688172043011,,
UNASSIGNED,gs://depth-286210/children_book_images/PRB01:000019791:00005:Picture_1.jpg,male,0.7484448160535117,0.33251344086021506,,,0.9855685618729098,0.5259274193548387,,
UNASSIGNED,gs://depth-286210/children_book_images/PRB01:000019788:00004:Picture_1.jpg,unethical imagery,0.2063875205254516,0.35196248196248203,,,0.9255172413793104,0.9710678210678212,,
UNASSIGNED,gs://depth-286210/children_book_images/PRB01:000019788:00004:Picture_1.jpg,male,0.7998193760262725,0.03867243867243867,,,0.9638752052545156,0.2936507936507937,,
UNASSIGNED,gs://depth-286210/children_book_images/PRB01:000019788:00004:Picture_1.jpg,male,0.28735632183908044,0.4834054834054834,,,0.4679802955665025,0.9595959595959596,,
UNASSIGNED,gs://depth-286210/children_book_images/PRB01:000019788:00004:Picture_1.jpg,umbrella,0.21459770114942528,0.3612987012987013,,,0.6392282430213465,0.5441991341991342,,
UNASSIGNED,gs://depth-286210/children_book_images/PRB01:000019788:00004:Picture_1.jpg,male,0.7077175697865353,0.5324675324675324,,,0.8801313628899836,0.9393939393939394,,
UNASSIGNED,gs://depth-286210/children_book_images/PRB01:000019788:00004:Picture_1.jpg,male,0.4269293924466338,0.5223665223665224,,,0.5550082101806241,0.9004329004329005,,
UNASSIGNED,gs://depth-286210/children_book_images/PRB01:000019788:00004:Picture_1.jpg,male,0.4858292282430213,0.5123088023088023,,,0.6828735632183908,0.8889321789321789,,
UNASSIGNED,gs://depth-286210/children_book_images/PRB01:000019786:00005:Picture_1.jpg,male,0.43116573033707867,0.291295871559633,,,0.7043539325842697,0.6851032110091743,,
UNASSIGNED,gs://depth-286210/children_book_images/PRB01:000019786:00005:Picture_1.jpg,male,0.21570224719101125,0.3236009174311927,,,0.5231741573033708,0.794151376146789,,
UNASSIGNED,gs://depth-286210/children_book_images/PRB01:000019786:00005:Picture_1.jpg,unethical imagery,0.6412921348314607,0.6963761467889908,,,0.9855758426966292,0.986066513761468,,
UNASSIGNED,gs://depth-286210/children_book_images/PRB01:000019786:00005:Picture_1.jpg,male,0.03103932584269663,0.0625,,,0.2592696629213483,0.2971330275229358,,
UNASSIGNED,gs://depth-286210/children_book_images/PRB01:000019786:00005:Picture_1.jpg,male,0.0021348314606741575,0.7508027522935781,,,0.16924157303370788,1.0,,
UNASSIGNED,gs://depth-286210/children_book_images/PRB01:000019786:00005:Picture_1.jpg,male,0.8106741573033709,0.6956422018348624,,,1.0,1.0,,
UNASSIGNED,gs://depth-286210/children_book_images/PRB01:000019786:00005:Picture_1.jpg,male,0.6474719101123596,0.7649082568807339,,,0.8300561797752809,0.9724770642201837,,
UNASSIGNED,gs://depth-286210/children_book_images/PRB01:000019786:00005:Picture_1.jpg,dog,0.017696629213483146,0.17698394495412845,,,0.1965308988764045,0.2949770642201835,,
UNASSIGNED,gs://depth-286210/children_book_images/PRB01:000019786:00005:Picture_1.jpg,male,0.6542415730337079,0.0022362385321100927,,,0.8758426966292135,0.3142201834862385,,
